product_name,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
All Butter Sultana Cookies,Candy & Chocolate,34.7,5.5,17.9,3.0,e
All Butter Belgian White Chocolate Chunk Cookies,Candy & Chocolate,32.4,6.0,28.0,2.0,e
All Butter Fruity Flapjack Cookies,Candy & Chocolate,36.5,5.1,20.5,4.2,e
Pistachio almond cookies,Candy & Chocolate,20.7,10.7,32.1,4.5,e
Cranberry & Orange Cookies,Candy & Chocolate,41.2,4.4,15.2,2.7,e
Triple Belgian Chocolaté Chunk Cookies,Candy & Chocolate,34.4,5.6,29.3,2.9,e
Cookies Stem Ginger,Candy & Chocolate,2.3,1.6,16.0,0.0,d
All Butter Reduced Fat Stem Ginger Cookies,Candy & Chocolate,35.7,6.1,13.3,2.5,e
Cookies pépites chocolat et noisette,Candy & Chocolate,33.4,6.0,25.3,3.0,e
Belgian White Chocolate Chunk Cookies (Reduced Fat),Candy & Chocolate,42.5,5.3,17.8,1.2,e
Burdock root,Candy & Chocolate,31.8,6.1,20.8,3.3,unknown
Coco rallado,Fruit Snacks,7.35,6.88,65.53,,d
Sarments de citron confit,Candy & Chocolate,28.58,2.69,10.91,,e
Tiramisu cheescake,Candy & Chocolate,8.5263157894737,9.0526315789474,26.0,,e
Nos Truffes,Candy & Chocolate,18.33,5.2,27.7,8.7,unknown
Purdy Assorted Chocolates,Candy & Chocolate,42.222222222222,6.6666666666667,31.111111111111,4.4444444444444,e
Blackcurrant Jam,Spreads & Dips,58.1,0.5,0.5,1.5,d
Blooom Almond & Chocolate energy ball,Candy & Chocolate,21.0,6.3,14.3,8.8,c
Pain d'épices,Candy & Chocolate,46.0,5.4,0.7,,e
Sundae Mix,Ice Cream & Frozen,31.5063888888889,2.6325,3.00416666666667,0.154444444444444,d
Enteras 72% cacao,Candy & Chocolate,22.0,11.0,47.0,10.0,d
Pistacho gigante tostado,Nuts & Seeds,7.7,21.1,45.8,,c
Frollini al miele italian shortbread cookies with honey,Candy & Chocolate,19.0,6.2,29.0,,e
Confiture cassis,Spreads & Dips,45.728,0.798,0.516,3.48,d
Œufs Praliné,Candy & Chocolate,48.0,4.76,34.4,57.0,e
Galletas de mantequilla,Candy & Chocolate,26.0,5.9,26.0,1.4,e
amandes,Nuts & Seeds,4.5837,21.1,52.1,9.801,unknown
Fluffy Stuff Cotton Candy,Candy & Chocolate,28.0,0.0,0.0,,c
Galletas tradicionales,Candy & Chocolate,26.0,5.0,15.0,3.774,e
Crunchy Peanut Butter from unblanched peanuts salted,Nuts & Seeds,6.25,25.0,50.0,9.375,c
Miel de Lavande Maritime Bio,Spreads & Dips,79.8,0.56,0.0,0.0,e
Salsa Autentica,Spreads & Dips,3.33333333333333,0.0,0.0,0.0,c
Apricot Cake,Candy & Chocolate,35.2,5.2,15.1,,e
Wheaties Protein: Honey Pecan Cereal,Cereals & Granola,9.375,32.8125,18.75,7.8125,d
Multi Grain Cheerios,Cereals & Granola,20.6896551724138,6.89655172413793,5.17241379310345,10.3448275862069,c
